age,incomeBracket,healthRiskScore,sumInsured,coverageType,policyTier
58,LOW,94,950000,LIFE,BASIC
32,LOW,13,1800000,LIFE,STANDARD
55,MID,3,350000,LIFE,STANDARD
32,MID,3,1850000,LIFE,PREMIUM
63,MID,69,1400000,LIFE,STANDARD
46,MID,0,600000,VEHICLE,STANDARD
45,MID,19,750000,HEALTH,STANDARD
24,LOW,12,1200000,HEALTH,STANDARD
56,LOW,5,1550000,VEHICLE,STANDARD
25,HIGH,48,350000,VEHICLE,STANDARD
36,HIGH,79,1250000,VEHICLE,PREMIUM
30,MID,5,800000,HEALTH,STANDARD
23,HIGH,12,1300000,HEALTH,PREMIUM
47,MID,46,600000,HEALTH,STANDARD
40,LOW,34,300000,VEHICLE,STANDARD
58,LOW,93,850000,LIFE,BASIC
47,MID,81,1850000,LIFE,STANDARD
61,MID,98,250000,LIFE,BASIC
70,LOW,40,1350000,HEALTH,STANDARD
22,LOW,72,1100000,LIFE,STANDARD
59,MID,82,1550000,LIFE,STANDARD
34,LOW,95,1850000,VEHICLE,STANDARD
34,MID,54,1950000,HEALTH,STANDARD
41,LOW,17,1700000,HEALTH,STANDARD
23,HIGH,14,550000,VEHICLE,PREMIUM
28,HIGH,54,2000000,LIFE,PREMIUM
42,MID,59,1750000,HEALTH,STANDARD
53,HIGH,1,450000,VEHICLE,PREMIUM
74,MID,34,1150000,LIFE,STANDARD
36,MID,58,100000,VEHICLE,STANDARD
74,MID,64,650000,VEHICLE,BASIC
24,HIGH,38,1700000,VEHICLE,PREMIUM
30,LOW,97,600000,VEHICLE,BASIC
67,HIGH,0,2000000,HEALTH,PREMIUM
49,LOW,46,1050000,LIFE,STANDARD
21,LOW,72,350000,LIFE,BASIC
64,MID,8,1800000,LIFE,STANDARD
26,MID,70,600000,HEALTH,STANDARD
51,HIGH,54,750000,VEHICLE,STANDARD
66,MID,25,1050000,HEALTH,STANDARD
60,MID,56,1750000,HEALTH,STANDARD
25,LOW,8,1150000,LIFE,STANDARD
55,MID,75,800000,LIFE,BASIC
22,MID,7,800000,LIFE,STANDARD
75,LOW,42,300000,VEHICLE,BASIC
33,LOW,62,750000,VEHICLE,BASIC
26,MID,73,1900000,HEALTH,STANDARD
33,HIGH,52,700000,LIFE,STANDARD
24,MID,45,1450000,HEALTH,STANDARD
47,HIGH,6,400000,LIFE,PREMIUM
43,MID,13,850000,LIFE,STANDARD
30,MID,17,1450000,LIFE,PREMIUM
35,MID,9,1500000,VEHICLE,PREMIUM
24,LOW,69,100000,LIFE,BASIC
66,HIGH,21,1400000,HEALTH,PREMIUM
48,LOW,51,250000,LIFE,BASIC
42,LOW,49,900000,HEALTH,BASIC
36,MID,93,1850000,VEHICLE,STANDARD
63,MID,24,1000000,LIFE,STANDARD
21,MID,69,250000,VEHICLE,STANDARD
38,LOW,74,1600000,VEHICLE,STANDARD
72,MID,7,1700000,LIFE,STANDARD
72,LOW,76,300000,VEHICLE,BASIC
73,LOW,15,1900000,LIFE,STANDARD
55,MID,79,350000,HEALTH,BASIC
60,MID,66,1100000,HEALTH,STANDARD
31,MID,40,850000,HEALTH,STANDARD
43,LOW,82,1050000,HEALTH,STANDARD
38,HIGH,9,100000,HEALTH,PREMIUM
57,HIGH,12,300000,VEHICLE,STANDARD
31,MID,16,1200000,LIFE,PREMIUM
74,LOW,36,600000,HEALTH,BASIC
71,MID,38,2050000,VEHICLE,STANDARD
51,LOW,70,1050000,VEHICLE,STANDARD
24,HIGH,17,900000,LIFE,PREMIUM
74,LOW,70,550000,HEALTH,BASIC
36,MID,91,1150000,LIFE,STANDARD
61,MID,33,1700000,HEALTH,STANDARD
34,HIGH,6,350000,VEHICLE,PREMIUM
45,HIGH,5,100000,HEALTH,PREMIUM
67,LOW,33,600000,VEHICLE,BASIC
46,MID,54,1850000,LIFE,STANDARD
25,LOW,88,550000,VEHICLE,BASIC
20,HIGH,74,1850000,LIFE,PREMIUM
45,LOW,39,1250000,LIFE,STANDARD
75,MID,87,850000,VEHICLE,BASIC
24,MID,71,1400000,VEHICLE,STANDARD
65,LOW,30,600000,LIFE,BASIC
74,MID,22,1150000,HEALTH,STANDARD
69,MID,94,850000,HEALTH,BASIC
28,HIGH,13,1300000,LIFE,PREMIUM
72,MID,25,1550000,HEALTH,STANDARD
37,HIGH,29,800000,LIFE,PREMIUM
60,LOW,42,950000,LIFE,BASIC
67,LOW,82,1700000,HEALTH,BASIC
61,HIGH,68,1150000,LIFE,STANDARD
25,HIGH,33,650000,VEHICLE,PREMIUM
34,LOW,76,1450000,HEALTH,STANDARD
64,HIGH,55,2000000,VEHICLE,STANDARD
25,MID,73,700000,HEALTH,STANDARD
20,MID,0,1750000,VEHICLE,PREMIUM
61,MID,94,700000,HEALTH,BASIC
45,LOW,85,1150000,VEHICLE,STANDARD
38,MID,15,1050000,VEHICLE,PREMIUM
37,MID,41,1350000,VEHICLE,PREMIUM
36,MID,24,1400000,VEHICLE,PREMIUM
42,MID,22,2050000,VEHICLE,PREMIUM
37,MID,0,1050000,HEALTH,PREMIUM
31,MID,74,2000000,VEHICLE,STANDARD
38,MID,56,750000,VEHICLE,STANDARD
48,HIGH,94,600000,VEHICLE,STANDARD
23,LOW,84,2050000,HEALTH,STANDARD
23,HIGH,96,850000,VEHICLE,STANDARD
37,LOW,25,550000,LIFE,STANDARD
20,LOW,60,2050000,LIFE,STANDARD
47,MID,80,1900000,LIFE,STANDARD
63,MID,63,1350000,LIFE,STANDARD
27,MID,0,400000,HEALTH,STANDARD
32,LOW,89,1750000,HEALTH,STANDARD
21,MID,15,1550000,LIFE,PREMIUM
69,MID,67,1850000,VEHICLE,STANDARD
38,HIGH,56,2050000,VEHICLE,PREMIUM
75,MID,70,1500000,LIFE,STANDARD
65,HIGH,57,900000,LIFE,STANDARD
71,MID,98,1750000,HEALTH,STANDARD
58,LOW,56,300000,VEHICLE,BASIC
36,LOW,42,1100000,VEHICLE,STANDARD
23,LOW,29,1300000,VEHICLE,STANDARD
27,MID,8,1400000,HEALTH,PREMIUM
39,MID,53,250000,LIFE,STANDARD
71,MID,98,1950000,VEHICLE,STANDARD
19,HIGH,97,1900000,HEALTH,PREMIUM
48,LOW,45,1050000,HEALTH,STANDARD
72,HIGH,53,1800000,VEHICLE,STANDARD
65,MID,77,800000,HEALTH,BASIC
32,LOW,62,150000,HEALTH,BASIC
39,MID,51,600000,HEALTH,STANDARD
26,HIGH,68,150000,HEALTH,STANDARD
55,MID,3,350000,VEHICLE,STANDARD
45,LOW,59,650000,LIFE,BASIC
34,MID,27,1550000,HEALTH,PREMIUM
39,HIGH,48,950000,HEALTH,STANDARD
34,HIGH,60,150000,VEHICLE,STANDARD
52,LOW,44,800000,VEHICLE,STANDARD
22,HIGH,83,200000,LIFE,STANDARD
33,LOW,2,2050000,LIFE,STANDARD
33,LOW,85,450000,VEHICLE,BASIC
31,MID,32,1250000,LIFE,PREMIUM
56,MID,95,450000,LIFE,BASIC
37,LOW,3,1050000,VEHICLE,STANDARD
